Prodotto,Marca,Modello,Prezzo,Dettagli
Reflex,Nikon,D5600,600.00€,APS-C
Reflex,Nikon,D6,6500.00€,FullFrame
Reflex,Nikon,D7500 ,900.00€,APS-C
Reflex,Nikon,D780,2300.00€,APS-C
Reflex,Nikon,Df,3200.00€,Mirrorless
Obiettivo,Nikon,Z 14-30mm f/4 S,1400.00€,Focale fissa
Obiettivo,Nikon,Z 50mm f/1.8 S,600.00€,Lunghezza fissa
Reflex,Nikon,Z6,1700.00€,DSLR
Accessorio,Olympus,FL-700WR,330.00€,Flash
Reflex,Olympus,OM-D E-M1 III,1600.00€,DSLR
Reflex,Panasonic ,S1,3900.00€,Mirrorless
Reflex,Panasonic ,S1R,3500.00€,Mirrorless
Obiettivo,Pentax,FA * 70-200mm f/2.8 ED DC AW,2000.00€,Focale fissa
Obiettivo,Pentax,HD DA 35mm f/2.8 Macro Limited ,600.00€
Reflex,Pentax,KP,800.00€,APS-C
Obiettivo,Pentax,SMC DA 12-24mm f/4 ED AL,900.00€,Focale fissa
Obiettivo,Pentax,SMC DA 18-135mm f/3.5-5.6 ED AL (IF) DC WR,500.00€,Zoom
Reflex,Pentax , K-1 Mark II ,1900.00€,APS-C
Reflex,Pentax ,K-70,650.00€,APS-C
Obiettivo,Samyang,35mm f/1.2 ED AS UMC CS,300.00€
Obiettivo,Samyang,AF 18mm f/2.8 FE,250.00€,Lunghezza fissa
Accessorio,SanDisk,SDXC 128GB,55.00€,MemoryCard
Accessorio,Sandisk,Extreme Pro CFExpress 128 GB,300.00€,MemoryCard
Accessorio,Sandisk,Extreme Pro SDXC 64 GB (300 MB/s),120.00€,MemoryCard
Accessorio,Sandisk,Ultra SDHC 32 GB (80 MB/s),20.00€,MemoryCard
Obiettivo,Sigma,15mm f/2.8 EX DG Diagonal Fisheye,700.00€
Obiettivo,Sigma,17-50mm f/2.8 EX DC OS HSM,250.00€,Focale fissa
Obiettivo,Sigma,200-500mm f/2.8 EX DG,22000.00€,Focale fissa
Obiettivo,Sigma,85mm f/1.4 DG HSM Art,1000.00€
Reflex,Sony,A6100,750.00€,APS-C
Reflex,Sony,A7r IV,3500.00€,Mirrorless
Reflex,Sony,A99 II,3600.00€,Mirrorless
Obiettivo,Sony,Carl Zeiss Sonnar T* E 24mm f/1.8,900.00€
Obiettivo,Sony,E PZ 16-50mm f/3.5-5.6 OSS,150.00€,Zoom
Obiettivo,Sony,FE 12-24mm f/4 G,1700.00€,Focale fissa
Accessorio,Sony,G Tough 64 GB SDXC,120.00€,MemoryCard
Accessorio,Sony,G XQD 256 GB,600.00€,MemoryCard
Obiettivo,Tamron,35mm f/2.8 Di III OSD M1:2,400.00€,Lunghezza fissa
Obiettivo,Tamron,8-300mm f/3.5-6.3 Di VC PZD,700.00€,Zoom
Obiettivo,Tamron,SP 35mm f/1.8 Di VC USD,550.00€
Obiettivo,Tokina,AF 17-35mm f/4 AT-X Pro FX,500.00€,Focale fissa
Obiettivo,Tokina,Opera 16-28mm f/2.8 FF,750.00€,Focale fissa
Accessorio,Yongnuo,YN-560 IV,75.00€,Flash
Obiettivo,Zeiss,M C Biogon T* 35mm f/2.8,800.00€,Lunghezza fissa
Obiettivo,Zeiss,Otus 85mm f/1.4,4000.00€,Lunghezza fissa
Obiettivo,Zeiss,Touit 12mm f/2.8,850.00€
Obiettivo,Zeiss,Touit 32mm f/1.8,600.00€
Obiettivo,Zeiss,ZM Distagon T* 15mm f/2.8,2500.00€
